R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,location,weight,height,HU
5847.977539,8677.007813,11722.86621,14231.49316,31323.66797,29913.08594,2,bot,62.38,0.7,82.7666
4498.852539,7732.019043,11355.43262,13576.45605,31734.97461,29063.5332,2,bot,61.62,0.8,88.9867
4902.527832,8092.478516,11216.4873,13591.55762,30929.45703,29417.30859,2,bot,60,0.8,89.4133
4497.524902,7803.461426,11101.21387,13731.24805,33529.03516,31883.95117,2,bot,60,0.9,94.629
5484.138672,8531.958008,11370.87109,13888.87305,30386.41211,28551.8418,2,bot,61.19,0.96,97.2217
4987.512207,8525.462891,11317.35156,13776.55371,28643.63867,27330.15039,2,bot,59.54,0.9,94.7369
5381.89209,8819.892578,11779.47363,14435.36621,32122.14648,30494.55273,2,bot,59.53,0.8,89.5377
5324.792969,8564.431641,11544.80957,14238.10059,33192.14844,32039.41797,2,bot,58.31,0.97,98.3086
5506.712402,8004.799316,10874.78516,13115.85254,33122.75781,31078.4668,2,bot,63.89,0.98,97.5655
4923.773926,8648.863281,11728.01172,14278.68652,31171.81641,29898.39648,2,bot,62.57,0.98,97.8443
4712.641113,8399.897461,12121.17578,14836.50586,32934.70313,30932.79492,2,bot,63.52,0.94,95.7695
5270.350098,8494.071289,11574.65723,13992.69727,29532.62305,27847.96289,2,bot,59.07,0.9,94.8475
5041.955078,8658.605469,11573.62793,13888.87305,30673.01953,29024.36133,2,bot,61.15,0.8,89.1102
3958.406006,7970.160156,11543.78125,13925.68262,30034.4375,27818.58203,2,bot,60.15,0.9,94.5939
4680.771973,8040.520508,11177.37695,13716.14648,30870.125,29305.91211,2,bot,64,0.9,93.7007
5105.693359,8102.220703,12124.26367,14376.84766,30125.95117,27534.58203,2,bot,59.65,0.97,98.0159
4870.658691,8306.805664,11596.27148,14004.02344,30621.73242,28609.37695,2,bot,61.4,0.98,98.0931
5088.430664,7739.596191,11473.79395,13578.34375,29557.76563,26591.99414,2,bot,61.41,0.98,98.091
5103.037598,8507.060547,11581.8623,13865.27637,31643.46094,29294.89453,2,bot,63.08,0.92,94.9006
4618.361816,7384.548828,11226.7793,13264.98242,27913.54297,25465.78516,2,bot,60.45,0.98,98.2962
4879.953613,8231.033203,10949.91797,13550.97168,31003.875,30184.8457,3,bot,60.64,0.98,98.2555
6033.880371,8270.001953,11366.75391,13635.91895,32700.38867,30429.67383,3,bot,60.76,0.8,89.2128
4498.852539,7715.782227,11133.12012,13362.2002,30276.79688,28236.01367,3,bot,62.4,0.9,94.0699
4687.411621,7696.297852,11589.06641,13840.73633,32144.26953,29880.03516,3,bot,60.37,0.8,89.3156
5136.234375,7656.246582,10720.40137,12987.48828,29222.88672,27861.42773,3,bot,61.85,0.8,88.9263
4425.819336,8117.375,11413.06934,14024.78809,29829.28711,28737.91211,3,bot,59.86,0.9,94.6618
5485.466309,8675.924805,11995.61035,14394.78027,31113.49023,29271.63672,3,bot,59.51,0.8,89.543
4509.475586,7769.905273,10859.34668,13093.2002,27612.85742,25970.13086,3,bot,59.76,0.8,89.4768
4913.150879,7890.058105,11334.84863,13604.77148,32207.625,30227.68945,3,bot,57.88,0.98,98.8512
4297.015137,7769.905273,10799.65137,13563.24121,31975.32227,31352.67578,3,bot,60.71,0.95,96.8621
5408.449707,8782.005859,11812.4082,14467.45801,33244.44141,32081.03906,3,bot,60.83,0.8,89.1944
5562.483398,8903.242188,11853.57715,14256.97754,31226.12109,29851.87891,3,bot,62.14,0.84,91.0399
5849.305176,8936.797852,12239.53613,14527.86426,31604.24219,29456.48242,3,bot,60.94,0.85,91.8664
5611.614746,8569.84375,11220.60449,13666.12207,29476.30859,28494.30859,3,bot,58.14,0.76,87.658
4911.822754,8170.415527,10880.95996,13178.14746,32119.12891,30911.98438,3,bot,59.31,0.96,97.6337
5800.173828,8711.646484,11711.54395,14188.0752,33573.28516,32249.96875,3,bot,60.28,0.85,92.0299
5910.387695,8163.920898,10867.58008,12945.01465,31525.80273,29746.60352,3,bot,62.64,0.82,89.8314
5234.497559,8224.539063,11207.22461,13348.98535,32034.65625,30030.60352,3,bot,60.42,0.97,97.8487
5407.121582,8467.009766,11209.2832,13724.6416,32720.50195,31497.12305,3,bot,60.91,0.99,98.6481
