R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,location,weight,height,HU
6189.242188,9165.197266,13118.49414,15181.95801,30960.63281,30443.13867,2,mid,62.38,0.7,82.7666
5635.516602,8591.493164,13357.27441,15381.1123,35937.54297,34033.54297,2,mid,61.62,0.8,88.9867
5991.388184,7938.769043,11890.62988,13640.6377,34465.28516,32531.52148,2,mid,60,0.8,89.4133
5516.007813,7958.253418,13066.00391,15148.92285,36151.74609,33882.97266,2,mid,60,0.9,94.629
6182.602539,8785.253906,13078.35449,14880.86719,32264.94727,30228.91406,2,mid,61.19,0.96,97.2217
6592.916992,8224.539063,12455.67383,14294.73145,35351.25391,32837.55859,2,mid,59.54,0.9,94.7369
6429.588379,8199.641602,11960.61719,13580.23145,36822.50781,33849.92188,2,mid,59.53,0.8,89.5377
6732.344238,8511.390625,12911.62012,14887.47461,38214.3125,35894.23438,2,mid,58.31,0.97,98.3086
5724.484863,9090.507813,12983.66602,14642.07129,32504.28906,29998.77539,2,mid,63.89,0.98,97.5655
6343.275879,8168.250488,11641.55762,13224.39648,34656.35938,31832.53711,2,mid,62.57,0.98,97.8443
5530.614258,7551.248047,11999.72754,13713.31543,37946.8125,34947.97266,2,mid,63.52,0.94,95.7695
6742.967285,7300.117188,10353.99707,11800.11426,35113.92578,31815.40039,2,mid,59.07,0.9,94.8475
5745.730469,8903.242188,12904.41504,14972.42188,38027.26172,35768.14844,2,mid,61.15,0.8,89.1102
4801.608887,5642.869141,9317.568359,10971.40723,33823.6875,31029.50195,2,mid,60.15,0.9,94.5939
5805.485352,7636.762207,11560.24805,13141.33691,34619.14844,31603.62305,2,mid,64,0.9,93.7007
6080.355957,8583.916016,13606.34668,15504.75781,35558.41797,33240.30078,2,mid,59.65,0.97,98.0159
6770.853027,8669.429688,12731.50586,14510.875,36299.57422,33753.21484,2,mid,61.4,0.98,98.0931
5696.599121,8975.766602,13059.82813,14878.03613,34799.16016,32712.69531,2,mid,61.41,0.98,98.091
5614.270508,7178.881348,11572.59863,13538.70117,36335.77734,33988.25,2,mid,63.08,0.92,94.9006
5614.270508,7178.881348,11572.59863,13503.77832,36335.77734,33973.55859,2,mid,60.45,0.98,98.2962
6489.342773,8339.279297,12560.6543,14439.1416,35183.3125,32264.66016,3,mid,60.64,0.98,98.2555
6206.504395,8699.739258,12829.28223,14922.39746,35200.41016,32865.71094,3,mid,60.76,0.8,89.2128
5862.583984,8452.9375,12831.34082,14883.69922,34702.61719,31997.79688,3,mid,62.4,0.9,94.0699
5821.419922,8469.174805,13102.02637,15142.31641,34989.22656,32380.95313,3,mid,60.37,0.8,89.3156
6072.388672,7875.986328,12122.20508,14067.26172,33036.27344,30347.65625,3,mid,61.85,0.8,88.9263
5894.453125,8111.962891,12969.25684,14845.00098,34598.03125,31636.67578,3,mid,59.86,0.9,94.6618
6619.474609,8746.285156,12771.64551,14462.73828,34477.35547,31711.34766,3,mid,59.51,0.8,89.543
6287.505371,9098.084961,13144.22461,15128.1582,36493.66406,33354.14453,3,mid,59.76,0.8,89.4768
6323.35791,8454.020508,12351.72168,14278.68652,36899.94141,33989.47266,3,mid,57.88,0.98,98.8512
5577.090332,8472.421875,13083.50098,15234.81445,35514.16797,32773.90234,3,mid,60.71,0.95,96.8621
6622.130371,9886.116211,14568.6709,16681.74805,36726.97266,34346.92188,3,mid,60.83,0.8,89.1944
6502.621582,9783.282227,13761.75977,15561.38965,33156.94922,30854.44922,3,mid,62.14,0.84,91.0399
6510.588867,9039.631836,12824.13574,14626.96973,35982.79688,33334.55859,3,mid,60.94,0.85,91.8664
7677.793945,9310.24707,13249.20605,14935.61133,33793.51953,30642.67383,3,mid,58.14,0.76,87.658
6181.274902,8645.616211,12582.26855,14290.0127,35186.33203,31956.17578,3,mid,59.31,0.96,97.6337
7547.662109,9498.595703,13998.48145,15927.60645,38366.16406,35023.87109,3,mid,60.28,0.85,92.0299
7077.592773,9392.513672,12962.05176,14733.62598,34529.64844,31760.31445,3,mid,62.64,0.82,89.8314
6377.800781,9014.735352,12665.63574,14395.72461,34838.37891,32191.21094,3,mid,60.42,0.97,97.8487
6842.558594,8778.758789,12300.26074,14069.14941,35804.80078,32514.38477,3,mid,60.91,0.99,98.6481
7340.512695,9304.834961,13584.73242,15421.69824,34219.91016,31805.60742,3,mid,63.77,0.86,91.6999
5012.741699,6669.041992,10580.42676,12299.41504,36477.57031,33834.00781,4,mid,58.07,0.73,85.912
6547.769531,8691.079102,12528.74902,14512.7627,33964.47656,32631.90039,4,mid,59.39,0.78,88.4562
5384.547852,9000.663086,12752.08984,14756.27832,34715.69141,32975.88281,4,mid,60.7,0.75,86.3527
6086.995605,8744.120117,12991.89941,14856.32715,37356.5,34700.69922,4,mid,60.48,0.82,90.3842
6233.062012,9122.981445,13372.71289,15637.8418,36823.51172,35817.11328,4,mid,59.59,0.87,93.2286
5052.578125,7894.388184,12501.98828,14475.00879,34850.44531,33201.125,4,mid,62.65,0.71,83.3277
5761.665039,9165.197266,13082.47168,15147.97949,33607.47656,32260.98633,4,mid,63.53,0.82,89.6051
5824.075684,9220.402344,13217.2998,15219.71289,36104.48047,34164.52344,4,mid,59.33,0.7,83.6879
