R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,location,weight,height,HU
6515.900391,8439.948242,11203.10742,13573.62402,34531.66016,32600.07422,2,top,62.38,0.7,82.7666
5375.252441,8772.263672,11931.79883,14340.98047,34642.28125,32422.57422,2,top,61.62,0.8,88.9867
5288.94043,9480.193359,11948.26563,15004.5127,31906.93945,31151.91602,2,top,60,0.8,89.4133
4777.707031,9152.208008,12434.05957,15192.34082,31786.26172,29574,2,top,60,0.9,94.629
5911.715332,9380.607422,12047.07129,14979.02832,33573.28516,31861.91797,2,top,61.19,0.96,97.2217
5132.250977,9694.520508,11962.6748,15037.54785,28658.72266,27800.2207,2,top,59.54,0.9,94.7369
5954.20752,9352.462891,11686.84277,14565.61914,34213.87891,33640.59375,2,top,59.53,0.8,89.5377
5887.813477,9983.538086,12644.02148,15890.7959,35168.23047,34065.37109,2,top,58.31,0.97,98.3086
5304.875,7361.817383,9733.375,11622.66895,31627.37109,29356.10156,2,top,63.89,0.98,97.5655
5166.775391,9275.608398,12115,14748.72754,29326.4668,29670.70703,2,top,62.57,0.98,97.8443
4837.461914,8852.366211,12216.89355,14895.02539,34216.89453,32164.2793,2,top,63.52,0.94,95.7695
6371.161621,8977.931641,11978.11328,14155.98438,30757.49219,19979.18945,2,top,59.07,0.9,94.8475
4810.904297,8651.02832,11330.73145,14074.8125,34432.10156,32584.16016,2,top,61.15,0.8,89.1102
4331.540039,8258.094727,11486.14453,14533.52734,32803.96875,32194.88281,2,top,60.15,0.9,94.5939
5132.250977,8148.766602,11779.47363,13910.58105,31354.84375,28347.41016,2,top,64,0.9,93.7007
5996.699707,8684.584961,13103.05566,15281.06348,35751.5,31184.9668,2,top,59.65,0.97,98.0159
5051.25,9069.94043,11532.45898,14179.58105,30966.66602,29931.44922,2,top,61.4,0.98,98.0931
5570.450684,9823.333984,11994.58105,15000.7373,31876.76953,30849.55273,2,top,61.41,0.98,98.091
5279.645508,8734.37793,12184.9873,14509.93164,32760.72656,30063.65625,2,top,63.08,0.92,94.9006
5129.595215,8002.634277,11290.5918,13825.63379,33643.67969,31314.72656,2,top,60.45,0.98,98.2962
5428.367676,8273.249023,11120.76953,13444.31543,32194.55273,29869.01758,3,top,60.64,0.98,98.2555
5055.233887,8962.777344,12443.32324,15036.60449,31630.38867,29035.37695,3,top,60.76,0.8,89.2128
5550.532715,9009.323242,13334.63086,15453.78906,32614.91016,28808.91211,3,top,62.4,0.9,94.0699
5692.615723,8932.467773,12301.29004,14855.38379,34933.91406,32049.21094,3,top,60.37,0.8,89.3156
5942.256836,8207.219727,11395.57227,13603.82715,32710.44531,29921.6543,3,top,61.85,0.8,88.9263
5899.764648,9263.701172,12852.9541,15346.18945,33975.53906,30927.89844,3,top,59.86,0.9,94.6618
5354.006348,8983.34375,11800.05762,14251.31445,30964.6543,28875.01563,3,top,59.51,0.8,89.543
5513.352051,8963.859375,12386.71582,14786.48145,33807.59766,30681.8457,3,top,59.76,0.8,89.4768
5684.648438,8566.59668,11992.52246,14203.17773,33305.78516,29865.3457,3,top,57.88,0.98,98.8512
4937.052734,7964.748047,11247.36426,13449.97852,34748.87891,31913.33008,3,top,60.71,0.95,96.8621
6381.784668,8654.275391,11741.3916,14060.65527,35343.21094,32581.71094,3,top,60.83,0.8,89.1944
5947.568359,7660.57666,10520.73145,12552.36914,35344.21484,32416.45313,3,top,62.14,0.84,91.0399
5288.94043,9014.735352,12268.35449,14633.57715,32212.6543,29829.84375,3,top,60.94,0.85,91.8664
6839.902832,9114.321289,12249.8291,14695.87109,31996.44141,29075.77539,3,top,58.14,0.76,87.658
5335.416016,8818.80957,12290.99805,14660.94824,31826.48828,29269.18945,3,top,59.31,0.96,97.6337
6688.524414,8870.767578,11834.02246,14162.5918,34884.64063,32156.93555,3,top,60.28,0.85,92.0299
6235.717773,8447.525391,11278.24121,13334.82813,30788.66797,28331.49805,3,top,62.64,0.82,89.8314
5715.189453,9601.428711,13022.77637,15479.27344,31310.5957,28603.25586,3,top,60.42,0.97,97.8487
5697.927246,9282.103516,11967.82129,14520.31348,30950.57617,29193.29102,3,top,60.91,0.99,98.6481
7252.873047,8620.719727,11683.75488,13807.70117,36090.40234,33240.30078,3,top,63.77,0.86,91.6999
4460.344238,6583.527832,8973.807617,10709.01465,32362.49414,30418.65625,4,top,58.07,0.73,85.912
5138.890137,6929.915527,8867.797852,10877.02148,28659.72852,27834.49609,4,top,59.39,0.78,88.4562
4360.753418,7385.631348,9615.014648,11762.36035,30741.40234,29409.96484,4,top,60.7,0.75,86.3527
4255.851074,7506.867188,9543.998047,11866.18457,30832.91602,29966.94922,4,top,60.48,0.82,90.3842
4986.184082,7553.413086,9725.141602,11886.00586,31805.36914,30035.5,4,top,59.59,0.87,93.2286
4269.129883,7254.653809,9781.749023,12009.65137,32803.96875,31061.33008,4,top,62.65,0.71,83.3277
5056.561523,6348.633789,8745.319336,10345.62891,31640.44531,29263.06836,4,top,63.53,0.82,89.6051
4785.674316,8312.217773,10727.60547,13218.7334,31854.64648,30260.74219,4,top,59.33,0.7,83.6879
4565.246582,7161.562012,8938.813477,10894.9541,27792.86719,27048.59766,4,top,62.21,0.8,88.832
5369.940918,6750.226563,8642.397461,10370.16992,27913.54297,25950.54492,4,top,60.61,0.77,87.5507
5716.517578,7421.352539,9776.602539,11707.61621,32082.92578,30337.86328,4,top,61.63,0.74,85.489
4180.161621,7454.908691,9695.293945,11889.78125,27993.99414,26769.49414,4,top,59,0.73,85.6405
3897.32373,6251.212402,8541.533203,10386.21484,30164.16602,27976.49609,4,top,61.56,0.8,89.0024
3926.537109,6630.07373,8832.803711,10776.97266,28856.83398,27059.61523,4,top,60.66,0.7,83.2849
4848.084961,7987.479492,10342.67578,12895.93359,33671.83594,32193.6582,4,top,59.33,0.78,88.4725
5100.381836,7287.127441,9153.921875,11353.66992,28639.61523,27905.49609,4,top,61.56,0.85,91.7133
4550.640137,7208.10791,10052.43457,12311.68555,32034.65625,30598.60547,4,top,59.76,0.72,84.8076
4721.936523,6356.210938,8184.392578,9925.612305,25010.26172,24108.21484,4,top,60.16,0.84,91.5351
4149.620605,6413.581543,8448.90332,10453.22852,28760.29297,27833.27148,4,top,58.8,0.8,89.7313
4586.492676,6074.770996,8859.563477,10579.70605,33526.01953,30793.24219,4,top,59.77,0.78,88.353
5225.202148,6627.908691,9180.681641,10692.02539,31562.00391,29070.87695,5,top,58.76,0.76,87.48425
4145.637207,7271.973145,10199.61328,12592.01172,34220.91797,32928.14453,5,top,58.38,0.74,86.41919
4166.882813,6450.385254,9441.075195,11336.68066,33739.21484,31619.53711,5,top,59.03,0.69,83.14343
5416.416992,6021.730469,7978.547363,9433.862305,27155.29102,25325.00977,5,top,58.24,0.66,81.43422
5330.104492,7529.598633,9806.450195,11994.5498,30716.26172,29237.36133,5,top,59.61,0.75,86.66025
4360.753418,6240.387695,8925.433594,10671.25977,30485.9707,28609.37695,5,top,59.87,0.61,77.39987
4658.198242,7292.539551,9724.112305,11762.36035,31407.13672,29695.18945,5,top,57.14,0.69,83.72848
4303.654297,6674.45459,8914.112305,11009.16113,30487.98242,29913.08594,5,top,61.81,0.72,84.20592
6490.67041,7922.532227,10087.42871,12070.05762,32063.81836,29925.32813,5,top,62.54,0.61,76.47102
4659.525879,5730.54834,8095.878906,9544.293945,29152.49219,26261.47656,5,top,58.07,0.74,86.50855
5700.583008,6005.493652,8347.009766,9954.87207,32383.61328,28912.96289,5,top,59.17,0.65,80.45793
4299.670898,5702.404785,8156.603516,9693.422852,29853.42188,28102.58398,5,top,59.87,0.73,85.38748
5816.108398,7160.479492,10498.08887,12603.33789,34878.60547,32035.74414,5,top,60,0.78,88.29057
4946.347656,6981.873535,9593.400391,11603.79199,33772.40234,32165.50391,5,top,57.79,0.74,86.58936
5263.710938,7160.479492,9707.644531,11696.29004,32252.87891,30532.50195,5,top,59.59,0.7,83.60894
5030.003906,6215.491211,8052.651855,9611.307617,27890.41406,26409.59766,5,top,60,0.72,84.7369
4579.853516,7092.284668,9440.045898,11525.45215,31632.40039,30456.60352,5,top,59.24,0.8,89.61451
4638.279785,7350.992676,10429.13086,12758.13086,34700.60547,32502.14258,5,top,60.29,0.82,90.43309
