R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,location,weight,height,HU
6018.609863,8921.10254,12420.68018,14706.72559,31142.15039,30178.11231,2,mit+bot,62.38,0.7,82.7666
5067.18457,8161.756104,12356.35352,14478.78418,33836.25879,31548.53809,2,mit+bot,61.62,0.8,88.9867
5446.958008,8015.62378,11553.55859,13616.09766,32697.3711,30974.41504,2,mit+bot,60,0.8,89.4133
5006.766357,7880.857422,12083.60889,14440.08545,34840.39063,32883.46192,2,mit+bot,60,0.9,94.629
5833.370606,8658.605957,12224.61279,14384.87012,31325.67969,29390.37793,2,mit+bot,61.19,0.96,97.2217
5790.2146,8375.000977,11886.5127,14035.64258,31997.44629,30083.85449,2,mit+bot,59.54,0.9,94.7369
5905.740234,8509.76709,11870.04541,14007.79883,34472.32715,32172.23731,2,mit+bot,59.53,0.8,89.5377
6028.568604,8537.911133,12228.21485,14562.7876,35703.23047,33966.82618,2,mit+bot,58.31,0.97,98.3086
5615.598633,8547.653565,11929.22559,13878.96192,32813.52344,30538.6211,2,mit+bot,63.89,0.98,97.5655
5633.524902,8408.556885,11684.78467,13751.5415,32914.0879,30865.4668,2,mit+bot,62.57,0.98,97.8443
5121.627685,7975.572754,12060.45166,14274.91065,35440.75782,32940.38379,2,mit+bot,63.52,0.94,95.7695
6006.658692,7897.094239,10964.32715,12896.40577,32323.27442,29831.68164,2,mit+bot,59.07,0.9,94.8475
5393.842773,8780.923829,12239.02149,14430.64747,34350.14063,32396.25489,2,mit+bot,61.15,0.8,89.1102
4380.007446,6806.514649,10430.6748,12448.54493,31929.0625,29424.04199,2,mit+bot,60.15,0.9,94.5939
5243.128662,7838.641358,11368.8125,13428.7417,32744.63672,30454.76758,2,mit+bot,64,0.9,93.7007
5593.024658,8343.06836,12865.30518,14940.80274,32842.18457,30387.44141,2,mit+bot,59.65,0.97,98.0159
5820.755859,8488.117676,12163.88867,14257.44922,33460.65332,31181.2959,2,mit+bot,61.4,0.98,98.0931
5392.514893,8357.681397,12266.81104,14228.18994,32178.4629,29652.34473,2,mit+bot,61.41,0.98,98.091
5358.654053,7842.970948,11577.23047,13701.98877,33989.61914,31641.57227,2,mit+bot,63.08,0.92,94.9006
5116.316162,7281.715088,11399.68897,13384.38037,32124.66016,29719.67188,2,mit+bot,60.45,0.98,98.2962
5684.648193,8285.15625,11755.28614,13995.05664,33093.59375,31224.75293,3,mit+bot,60.64,0.98,98.2555
6120.192383,8484.870606,12098.01807,14279.15821,33950.39942,31647.69239,3,mit+bot,60.76,0.8,89.2128
5180.718262,8084.359864,11982.23047,14122.94971,32489.70704,30116.90528,3,mit+bot,62.4,0.9,94.0699
5254.415772,8082.736329,12345.54639,14491.52637,33566.74805,31130.49415,3,mit+bot,60.37,0.8,89.3156
5604.311524,7766.116455,11421.30323,13527.375,31129.58008,29104.54199,3,mit+bot,61.85,0.8,88.9263
5160.136231,8114.668946,12191.16309,14434.89454,32213.65918,30187.29395,3,mit+bot,59.86,0.9,94.6618
6052.470459,8711.104981,12383.62793,14428.75928,32795.42285,30491.49219,3,mit+bot,59.51,0.8,89.543
5398.490479,8433.995117,12001.78565,14110.6792,32053.26074,29662.1377,3,mit+bot,59.76,0.8,89.4768
5618.254395,8172.039307,11843.28516,13941.729,34553.78321,32108.58106,3,mit+bot,57.88,0.98,98.8512
4937.052735,8121.163574,11941.57618,14399.02783,33744.74512,32063.28906,3,mit+bot,60.71,0.95,96.8621
6015.290039,9334.061035,13190.53955,15574.60303,34985.70704,33213.98047,3,mit+bot,60.83,0.8,89.1944
6032.55249,9343.262208,12807.66846,14909.1836,32191.53516,30353.16407,3,mit+bot,62.14,0.84,91.0399
6179.947022,8988.214844,12531.83594,14577.417,33793.51954,31395.52051,3,mit+bot,60.94,0.85,91.8664
6644.704346,8940.04541,12234.90527,14300.8667,31634.91406,29568.49121,3,mit+bot,58.14,0.76,87.658
5546.548828,8408.015869,11731.61426,13734.08008,33652.73047,31434.08008,3,mit+bot,59.31,0.96,97.6337
6673.917969,9105.121094,12855.0127,15057.84083,35969.72461,33636.91992,3,mit+bot,60.28,0.85,92.0299
