R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,location,weight,height,HU
6352.571289,8802.572754,12160.80078,14377.79102,32746.14649,31521.60645,2,mit+top,62.38,0.7,82.7666
5505.384521,8681.878418,12644.53662,14861.04639,35289.91211,33228.0586,2,mit+top,61.62,0.8,88.9867
5640.164307,8709.481201,11919.44776,14322.5752,33186.11231,31841.71875,2,mit+top,60,0.8,89.4133
5146.857422,8555.230713,12750.03174,15170.63184,33969.00391,31728.48633,2,mit+top,60,0.9,94.629
6047.158936,9082.930664,12562.71289,14929.94776,32919.11622,31045.41602,2,mit+top,61.19,0.96,97.2217
5862.583985,8959.529786,12209.17432,14666.13965,32004.98829,30318.88965,2,mit+top,59.54,0.9,94.7369
6191.897949,8776.052247,11823.72998,14072.9253,35518.19336,33745.25782,2,mit+top,59.53,0.8,89.5377
6310.078858,9247.464356,12777.8208,15389.13526,36691.27149,34979.80274,2,mit+top,58.31,0.97,98.3086
5514.679932,8226.162598,11358.52051,13132.37012,32065.83008,29677.43848,2,mit+top,63.89,0.98,97.5655
5755.025635,8721.929443,11878.27881,13986.56201,31991.41309,30751.62207,2,mit+top,62.57,0.98,97.8443
5184.038086,8201.807129,12108.31055,14304.17041,36081.85352,33556.12598,2,mit+top,63.52,0.94,95.7695
6557.064453,8139.024415,11166.05518,12978.04932,32935.70899,25897.29492,2,mit+top,59.07,0.9,94.8475
5278.317383,8777.135254,12117.57325,14523.61719,36229.68164,34176.1543,2,mit+top,61.15,0.8,89.1102
4566.574463,6950.481934,10401.85644,12752.46729,33313.82813,31612.19238,2,mit+top,60.15,0.9,94.5939
5468.868164,7892.764405,11669.86084,13525.95898,32986.9961,29975.51661,2,mit+top,64,0.9,93.7007
6038.527832,8634.250489,13354.70117,15392.91065,35654.95899,32212.63379,2,mit+top,59.65,0.97,98.0159
5911.051514,8869.685059,12131.98242,14345.22803,33633.12012,31842.33203,2,mit+top,61.4,0.98,98.0931
5633.524903,9399.550293,12527.20459,14939.38672,33337.96485,31781.12402,2,mit+top,61.41,0.98,98.091
