R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,location,weight,height,HU
6184.373373,8760.717774,12014.82259,14329.02506,32271.98698,30985.43294,2,mit+top+bot,62.38,0.7,82.7666
5169.873861,8365.258626,12214.83529,14432.84961,34104.93294,31839.88346,2,mit+top+bot,61.62,0.8,88.9867
5394.285482,8503.813639,11685.1276,14078.90267,32433.89388,31033.58203,2,mit+top+bot,60,0.8,89.4133
4930.413249,8304.640951,12200.42578,14690.83724,33822.34766,31780.30794,2,mit+top+bot,60,0.9,94.629
5859.485514,8899.273112,12165.43229,14582.92285,32074.88151,30214.22461,2,mit+top+bot,61.19,0.96,97.2217
5570.893392,8814.840821,11911.90006,14369.611,30884.53841,29322.64323,2,mit+top+bot,59.54,0.9,94.7369
5921.895996,8790.66569,11808.97786,14193.73893,34386.17773,32661.68945,2,mit+top+bot,59.53,0.8,89.5377
5981.650228,9019.786784,12366.81706,15005.45703,35524.89714,33999.67448,2,mit+top+bot,58.31,0.97,98.3086
5512.024088,8152.374837,11197.27539,13126.86426,32418.13932,30144.44792,2,mit+top+bot,63.89,0.98,97.5655
5477.941732,8697.574056,11828.18978,14083.93685,31718.2142,30467.21354,2,mit+top+bot,62.57,0.98,97.8443
5026.905762,8267.83724,12112.59896,14481.61556,35032.80339,32681.68229,2,mit+top+bot,63.52,0.94,95.7695
6128.159668,8257.373373,11302.25586,13316.2653,31801.34701,26547.51758,2,mit+top+bot,59.07,0.9,94.8475
5199.529948,8737.625326,11936.25814,14312.03581,34377.46094,32458.88998,2,mit+top+bot,61.15,0.8,89.1102
4363.851644,7290.374675,10782.49805,13143.53906,32220.69792,30347.6556,2,mit+top+bot,60.15,0.9,94.5939
5206.169434,7942.016439,11505.69954,13589.35481,32281.3724,29752.31511,2,mit+top+bot,64,0.9,93.7007
5727.583008,8456.907227,12944.55534,15054.22298,33811.95638,30653.2832,2,mit+top+bot,59.65,0.97,98.0159
5564.253906,8682.058594,11953.41211,14231.49316,32629.32422,30764.68034,2,mit+top+bot,61.4,0.98,98.0931
5451.826823,8846.232259,12176.06771,14485.70573,32077.89844,30051.41406,2,mit+top+bot,61.41,0.98,98.091
5332.317871,8140.106608,11779.81608,13971.30306,33579.98828,31115.60026,2,mit+top+bot,63.08,0.92,94.9006
5120.742513,7522.021484,11363.32324,13531.46484,32631,30251.35677,2,mit+top+bot,60.45,0.98,98.2962
5599.221354,8281.187174,11543.7806,13811.47624,32793.91341,30772.84115,3,mit+top+bot,60.64,0.98,98.2555
5765.206218,8644.172852,12213.11979,14531.6403,33177.0625,30776.92057,3,mit+top+bot,60.76,0.8,89.2128
5303.989746,8392.68099,12433.0306,14566.56283,32531.44141,29680.90755,3,mit+top+bot,62.4,0.9,94.0699
5400.482422,8365.980143,12330.79427,14612.81218,34022.47005,31436.73308,3,mit+top+bot,60.37,0.8,89.3156
5716.959961,7913.150879,11412.72624,13552.85905,31656.53516,29376.91276,3,mit+top+bot,61.85,0.8,88.9263
5406.679036,8497.679688,12411.76009,14738.65951,32800.95247,30434.16211,3,mit+top+bot,59.86,0.9,94.6618
5819.649089,8801.851237,12189.10449,14369.611,32185.16667,29952.66667,3,mit+top+bot,59.51,0.8,89.543
5436.777669,8610.616536,12130.0957,14335.94662,32638.03971,30002.04036,3,mit+top+bot,59.76,0.8,89.4768
5640.385742,8303.558431,11893.03092,14028.87858,34137.78386,31360.83594,3,mit+top+bot,57.88,0.98,98.8512
4937.052734,8069.025065,11710.1722,14082.67806,34079.45638,32013.30273,3,mit+top+bot,60.71,0.95,96.8621
6137.454915,9107.46582,12707.49023,15069.95378,35104.875,33003.22396,3,mit+top+bot,60.83,0.8,89.1944
6004.224446,8782.367025,12045.35612,14123.57878,33242.42838,31040.92709,3,mit+top+bot,62.14,0.84,91.0399
5882.944824,8997.055013,12444.00879,14596.13705,33266.56446,30873.62825,3,mit+top+bot,60.94,0.85,91.8664
6709.770508,8998.13737,12239.87988,14432.53483,31755.42318,29404.2526,3,mit+top+bot,58.14,0.76,87.658
5476.171224,8544.947103,11918.07552,14043.03613,33043.98307,30712.44987,3,mit+top+bot,59.31,0.96,97.6337
6678.786784,9027.003255,12514.68262,14759.42448,35608.02995,33143.5918,3,mit+top+bot,60.28,0.85,92.0299
6407.899414,8667.986654,11702.62435,13671.15625,32281.37305,29946.13867,3,mit+top+bot,62.64,0.82,89.8314
5775.829264,8946.901042,12298.54557,14407.99447,32727.87695,30275.02344,3,mit+top+bot,60.42,0.97,97.8487
5982.535807,8842.624024,11825.78841,14104.7015,33158.6263,31068.26628,3,mit+top+bot,60.91,0.99,98.6481
7044.838542,8754.944662,12245.02539,14290.01237,34931.56901,32343.41341,3,mit+top+bot,63.77,0.86,91.6999
4695.378743,6835.380371,10074.7347,11937.28841,34646.63607,32557.63672,4,mit+top+bot,58.07,0.73,85.912
5599.664063,7657.329102,10709.08008,12768.19824,32140.91732,30907.49544,4,mit+top+bot,59.39,0.78,88.4562
4860.035807,8146.96224,11276.18262,13400.58333,33520.65625,31841.10677,4,mit+top+bot,60.7,0.75,86.3527
5269.022298,8045.93278,11387.33887,13476.40658,34727.42383,32549.88412,4,mit+top+bot,60.48,0.82,90.3842
5749.714193,8513.194987,11756.14421,13986.40462,34814.24414,33237.44271,4,mit+top+bot,59.59,0.87,93.2286
4705.559245,7724.441732,11256.28418,13442.74251,34379.80599,32686.17122,4,mit+top+bot,62.65,0.71,83.3277
5367.727864,7743.565104,10808.57162,12745.23112,33359.41927,31667.6875,4,mit+top+bot,63.53,0.82,89.6051
5064.971517,8607.368815,11748.25325,14056.56478,33831.39909,32137.34831,4,mit+top+bot,59.33,0.7,83.6879
5633.303548,8253.043457,11256.97005,13163.98958,32159.6901,30205.2474,4,mit+top+bot,62.21,0.8,88.832
6295.915039,7943.820313,11047.00846,12930.85677,32938.72526,30900.15169,4,mit+top+bot,60.61,0.77,87.5507
5957.748698,8290.568685,11358.17741,13421.66276,32950.12239,31463.25586,4,mit+top+bot,61.63,0.74,85.489
4843.658366,7921.449381,11282.01497,13334.51335,32151.97982,30196.27018,4,mit+top+bot,59,0.73,85.6405
4607.738769,7382.744791,10418.83854,12532.5485,32938.39128,30666.33984,4,mit+top+bot,61.56,0.8,89.0024
4903.855794,8036.190592,11183.89551,13244.53223,33430.48372,31422.45117,4,mit+top+bot,60.66,0.7,83.2849
5411.548014,8643.450846,12039.86719,14612.81185,36135.98958,35038.15299,4,mit+top+bot,59.33,0.78,88.4725
5819.649414,7659.133138,10807.54232,12906.63086,33322.87956,31693.39323,4,mit+top+bot,61.56,0.85,91.7133
