R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,location,weight,height,HU
6181.938965,8558.478028,11462.98682,13902.55859,32927.66407,31256.58008,2,top+bot,62.38,0.7,82.7666
4937.05249,8252.141358,11643.61573,13958.71826,33188.62793,30743.05371,2,top+bot,61.62,0.8,88.9867
5095.734131,8786.335938,11582.37647,14298.03516,31418.19824,30284.61231,2,top+bot,60,0.8,89.4133
4637.615967,8477.834717,11767.63672,14461.79444,32657.64844,30728.97559,2,top+bot,60,0.9,94.629
5697.927002,8956.282715,11708.97119,14433.95069,31979.84864,30206.87989,2,top+bot,61.19,0.96,97.2217
5059.881592,9109.9917,11640.01318,14407.05078,28651.18067,27565.18555,2,top+bot,59.54,0.9,94.7369
5668.049805,9086.177735,11733.1582,14500.49268,33168.0127,32067.57324,2,top+bot,59.53,0.8,89.5377
5606.303223,9273.984864,12094.41553,15064.44825,34180.18946,33052.39453,2,top+bot,58.31,0.97,98.3086
5405.793701,7683.30835,10304.08008,12369.26075,32375.06445,30217.28418,2,top+bot,63.89,0.98,97.5655
5045.274659,8962.23584,11921.50586,14513.70703,30249.14161,29784.55176,2,top+bot,62.57,0.98,97.8443
4775.051514,8626.131836,12169.03467,14865.76563,33575.79883,31548.53711,2,top+bot,63.52,0.94,95.7695
5820.75586,8736.001465,11776.38526,14074.34083,30145.05762,23913.57617,2,top+bot,59.07,0.9,94.8475
4926.429688,8654.816895,11452.17969,13981.84278,32552.56055,30804.26075,2,top+bot,61.15,0.8,89.1102
4144.973023,8114.127442,11514.96289,14229.60498,31419.20313,30006.73242,2,top+bot,60.15,0.9,94.5939
4906.511475,8094.643555,11478.42529,13813.36377,31112.48438,28826.66114,2,top+bot,64,0.9,93.7007
5551.196533,8393.402832,12613.65967,14828.95557,32938.72559,29359.77442,2,top+bot,59.65,0.97,98.0159
4960.954346,8688.373047,11564.36523,14091.80225,30794.19922,29270.41309,2,top+bot,61.4,0.98,98.0931
5329.440674,8781.465088,11734.1875,14289.54053,30717.26758,28720.77344,2,top+bot,61.41,0.98,98.091
5191.341553,8620.719239,11883.4248,14187.60401,32202.09375,29679.27539,2,top+bot,63.08,0.92,94.9006
4873.978516,7693.591553,11258.68555,13545.30811,30778.61133,28390.25586,2,top+bot,60.45,0.98,98.2962
5154.160645,8252.141113,11035.34375,13497.64356,31599.21387,30026.93164,3,top+bot,60.64,0.98,98.2555
5544.557129,8616.389649,11905.03858,14336.26172,32165.38867,29732.52539,3,top+bot,60.76,0.8,89.2128
5024.692627,8362.552735,12233.87549,14407.99463,31445.85352,28522.46289,3,top+bot,62.4,0.9,94.0699
5190.013672,8314.382813,11945.17823,14348.06006,33539.0918,30964.62305,3,top+bot,60.37,0.8,89.3156
5539.245606,7931.733155,11057.98682,13295.65772,30966.66602,28891.54102,3,top+bot,61.85,0.8,88.9263
5162.791992,8690.538086,12133.01172,14685.48877,31902.41309,29832.90528,3,top+bot,59.86,0.9,94.6618
5419.736329,8829.634278,11897.83399,14323.04736,31039.07227,29073.32618,3,top+bot,59.51,0.8,89.543
5011.413819,8366.882324,11623.03125,13939.84083,30710.22754,28325.98828,3,top+bot,59.76,0.8,89.4768
5298.899659,8228.327393,11663.68555,13903.97461,32756.70508,30046.51758,3,top+bot,57.88,0.98,98.8512
4617.033936,7867.32666,11023.50782,13506.60987,33362.10059,31633.00293,3,top+bot,60.71,0.95,96.8621
5895.117188,8718.140625,11776.8999,14264.05664,34293.82618,32331.375,3,top+bot,60.83,0.8,89.1944
