410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,pH
553,195.0,1307.0,1224.0,1410.0,189.0,105.0,269.0,50.0,107.0,107.0,882.0,95.0,255.0,325.0,389.0,628.0,231.0,3.08
699,572.0,1644.0,1613.0,1809.0,599.0,101.0,192.0,28.0,68.0,101.0,1245.0,118.0,264.0,409.0,480.0,849.0,226.0,3.1
545,167.0,1300.0,1212.0,1385.0,159.0,92.0,255.0,56.0,107.0,106.0,861.0,100.0,239.0,311.0,355.0,613.0,226.0,3.1
546,188.0,1296.0,1212.0,1398.0,184.0,116.0,266.0,52.0,107.0,108.0,876.0,95.0,254.0,324.0,389.0,630.0,230.0,3.15
543,170.0,1299.0,1213.0,1380.0,160.0,87.0,255.0,56.0,107.0,106.0,869.0,99.0,244.0,309.0,363.0,616.0,229.0,3.2
696,575.0,1666.0,1618.0,1787.0,620.0,101.0,198.0,28.0,68.0,100.0,1265.0,120.0,268.0,417.0,500.0,853.0,223.0,3.2
553,179.0,1297.0,1218.0,1405.0,175.0,126.0,273.0,53.0,113.0,109.0,882.0,95.0,255.0,326.0,390.0,636.0,233.0,3.21
551,195.0,1310.0,1221.0,1400.0,189.0,109.0,270.0,51.0,107.0,108.0,888.0,95.0,256.0,327.0,393.0,631.0,233.0,3.25
551,194.0,1308.0,1223.0,1399.0,188.0,110.0,274.0,50.0,109.0,108.0,883.0,95.0,256.0,328.0,394.0,636.0,228.0,3.3
695,590.0,1661.0,1600.0,1803.0,589.0,101.0,198.0,28.0,68.0,100.0,1261.0,119.0,268.0,415.0,494.0,854.0,225.0,3.3
545,169.0,1302.0,1215.0,1380.0,158.0,85.0,252.0,55.0,108.0,107.0,873.0,100.0,241.0,309.0,365.0,617.0,230.0,3.3
556,195.0,1316.0,1231.0,1413.0,189.0,99.0,268.0,51.0,107.0,108.0,893.0,95.0,256.0,327.0,392.0,627.0,233.0,3.34
555,185.0,1317.0,1230.0,1408.0,181.0,99.0,270.0,52.0,112.0,109.0,895.0,95.0,255.0,325.0,391.0,628.0,233.0,3.4
684,600.0,1639.0,1618.0,1769.0,616.0,101.0,196.0,28.0,68.0,100.0,1267.0,120.0,264.0,418.0,497.0,847.0,224.0,3.4
526,164.0,1262.0,1179.0,1345.0,155.0,83.0,246.0,54.0,104.0,103.0,844.0,96.0,235.0,300.0,347.0,600.0,223.0,3.4
550,194.0,1301.0,1219.0,1404.0,189.0,101.0,266.0,50.0,107.0,107.0,888.0,94.0,255.0,326.0,391.0,623.0,231.0,3.43
547,178.0,1296.0,1227.0,1388.0,170.0,94.0,264.0,54.0,112.0,113.0,890.0,96.0,265.0,335.0,400.0,628.0,234.0,3.44
555,190.0,1316.0,1229.0,1412.0,185.0,100.0,272.0,51.0,110.0,108.0,893.0,95.0,255.0,326.0,391.0,632.0,233.0,3.47
700,605.0,1667.0,1612.0,1822.0,610.0,104.0,202.0,28.0,69.0,100.0,1266.0,119.0,264.0,418.0,495.0,854.0,221.0,3.5
522,163.0,1254.0,1177.0,1337.0,154.0,82.0,243.0,54.0,103.0,102.0,840.0,99.0,231.0,296.0,347.0,595.0,222.0,3.5
548,171.0,1299.0,1226.0,1386.0,166.0,95.0,270.0,55.0,115.0,114.0,891.0,96.0,266.0,336.0,401.0,629.0,237.0,3.5
611,170.0,1464.0,1366.0,1579.0,199.0,113.0,296.0,56.0,129.0,109.0,1013.0,94.0,259.0,319.0,391.0,717.0,257.0,3.5
555,189.0,1315.0,1225.0,1396.0,184.0,100.0,271.0,51.0,111.0,108.0,885.0,95.0,256.0,326.0,392.0,631.0,232.0,3.53
551,187.0,1308.0,1223.0,1404.0,182.0,101.0,269.0,52.0,110.0,108.0,887.0,94.0,254.0,324.0,389.0,627.0,232.0,3.56
545,176.0,1293.0,1226.0,1389.0,169.0,96.0,268.0,54.0,114.0,114.0,889.0,96.0,266.0,335.0,401.0,627.0,236.0,3.56
535,169.0,1274.0,1200.0,1364.0,159.0,85.0,249.0,54.0,105.0,105.0,848.0,100.0,234.0,305.0,349.0,606.0,224.0,3.6
602,181.0,1428.0,1343.0,1545.0,188.0,111.0,292.0,55.0,128.0,107.0,986.0,91.0,247.0,314.0,377.0,699.0,254.0,3.6
551,173.0,1300.0,1245.0,1408.0,170.0,93.0,264.0,54.0,113.0,109.0,883.0,95.0,254.0,313.0,384.0,623.0,230.0,3.6
693,593.0,1659.0,1654.0,1798.0,627.0,101.0,192.0,27.0,68.0,100.0,1259.0,119.0,263.0,423.0,498.0,850.0,217.0,3.6
