410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,pH
684,496.0,1625.0,1560.0,1768.0,526.0,115.0,234.0,30.0,73.0,104.0,1181.0,114.0,280.0,409.0,486.0,799.0,231.0,7.2
683,503.0,1624.0,1557.0,1772.0,540.0,115.0,232.0,30.0,73.0,104.0,1191.0,116.0,280.0,413.0,491.0,807.0,229.0,7.0
680,497.0,1620.0,1549.0,1766.0,534.0,115.0,232.0,68.0,72.0,104.0,1195.0,103.0,346.0,447.0,272.0,807.0,231.0,6.9
678,500.0,1609.0,1534.0,1758.0,535.0,114.0,231.0,53.0,72.0,105.0,1198.0,116.0,313.0,411.0,489.0,810.0,231.0,6.8
678,500.0,1609.0,1534.0,1758.0,535.0,114.0,231.0,53.0,72.0,105.0,1198.0,116.0,313.0,411.0,489.0,810.0,231.0,6.7
662,501.0,1578.0,1525.0,1723.0,534.0,110.0,224.0,72.0,72.0,104.0,1213.0,115.0,347.0,441.0,411.0,821.0,232.0,6.6
648,532.0,1572.0,1530.0,1703.0,572.0,110.0,213.0,29.0,70.0,103.0,1217.0,117.0,276.0,425.0,498.0,819.0,224.0,6.5
632,515.0,1535.0,1491.0,1673.0,552.0,105.0,210.0,28.0,68.0,101.0,1189.0,115.0,268.0,408.0,478.0,809.0,219.0,6.4
657,522.0,1577.0,1522.0,1717.0,561.0,106.0,215.0,29.0,70.0,103.0,1213.0,118.0,276.0,418.0,493.0,816.0,225.0,6.3
651,539.0,1571.0,1541.0,1733.0,571.0,104.0,209.0,29.0,69.0,102.0,1206.0,117.0,270.0,414.0,490.0,813.0,224.0,6.2
642,521.0,1543.0,1525.0,1726.0,555.0,105.0,207.0,29.0,68.0,101.0,1186.0,115.0,268.0,404.0,480.0,814.0,223.0,6.1
644,527.0,1547.0,1529.0,1739.0,557.0,102.0,205.0,28.0,67.0,100.0,1182.0,115.0,268.0,404.0,477.0,814.0,222.0,6.0
670,553.0,1589.0,1568.0,1774.0,582.0,102.0,202.0,28.0,67.0,100.0,1218.0,115.0,268.0,410.0,479.0,823.0,222.0,5.9
664,542.0,1585.0,1561.0,1753.0,569.0,100.0,203.0,28.0,67.0,101.0,1208.0,117.0,270.0,411.0,485.0,818.0,221.0,5.8
645,530.0,1566.0,1506.0,1725.0,569.0,102.0,199.0,28.0,67.0,100.0,1188.0,113.0,266.0,402.0,473.0,807.0,220.0,5.7
650,558.0,1577.0,1546.0,1759.0,588.0,102.0,201.0,28.0,67.0,98.0,1186.0,115.0,263.0,399.0,477.0,806.0,215.0,5.6
654,557.0,1560.0,1522.0,1734.0,569.0,101.0,202.0,27.0,67.0,97.0,1187.0,114.0,260.0,400.0,475.0,812.0,217.0,5.5
705,604.0,1642.0,1653.0,1850.0,611.0,102.0,203.0,28.0,69.0,102.0,1260.0,121.0,270.0,426.0,504.0,849.0,223.0,5.4
702,588.0,1678.0,1608.0,1817.0,598.0,104.0,204.0,28.0,69.0,102.0,1259.0,118.0,272.0,421.0,496.0,844.0,221.0,5.2
705,598.0,1687.0,1612.0,1823.0,617.0,102.0,200.0,28.0,69.0,102.0,1263.0,120.0,270.0,424.0,500.0,851.0,221.0,5.0
706,579.0,1670.0,1632.0,1849.0,610.0,103.0,201.0,28.0,69.0,102.0,1252.0,120.0,271.0,419.0,502.0,845.0,225.0,4.9
699,596.0,1679.0,1638.0,1819.0,617.0,101.0,196.0,27.0,68.0,100.0,1263.0,120.0,266.0,423.0,501.0,852.0,219.0,4.7
692,565.0,1669.0,1624.0,1794.0,594.0,103.0,204.0,29.0,69.0,102.0,1232.0,117.0,272.0,415.0,485.0,840.0,227.0,4.6
695,591.0,1680.0,1624.0,1843.0,616.0,103.0,199.0,28.0,68.0,101.0,1251.0,119.0,269.0,417.0,499.0,839.0,222.0,4.5
693,563.0,1675.0,1627.0,1809.0,580.0,100.0,204.0,29.0,69.0,104.0,1245.0,121.0,275.0,421.0,500.0,842.0,227.0,4.3
681,593.0,1657.0,1628.0,1827.0,610.0,101.0,199.0,28.0,68.0,101.0,1256.0,120.0,268.0,421.0,498.0,845.0,224.0,4.2
696,592.0,1675.0,1637.0,1825.0,622.0,101.0,195.0,28.0,68.0,101.0,1260.0,118.0,269.0,420.0,498.0,849.0,223.0,4.1
697,586.0,1661.0,1605.0,1800.0,589.0,102.0,203.0,28.0,69.0,102.0,1251.0,121.0,269.0,421.0,499.0,849.0,224.0,4.0
704,578.0,1686.0,1603.0,1830.0,589.0,102.0,203.0,29.0,69.0,103.0,1246.0,120.0,275.0,419.0,500.0,846.0,226.0,3.9
699,568.0,1658.0,1616.0,1794.0,584.0,103.0,205.0,28.0,69.0,102.0,1261.0,120.0,269.0,422.0,497.0,850.0,224.0,3.8
689,575.0,1675.0,1612.0,1819.0,594.0,102.0,199.0,29.0,69.0,103.0,1251.0,121.0,274.0,418.0,501.0,847.0,228.0,3.7
693,593.0,1659.0,1654.0,1798.0,627.0,101.0,192.0,27.0,68.0,100.0,1259.0,119.0,263.0,423.0,498.0,850.0,217.0,3.6
700,605.0,1667.0,1612.0,1822.0,610.0,104.0,202.0,28.0,69.0,100.0,1266.0,119.0,264.0,418.0,495.0,854.0,221.0,3.5
684,600.0,1639.0,1618.0,1769.0,616.0,101.0,196.0,28.0,68.0,100.0,1267.0,120.0,264.0,418.0,497.0,847.0,224.0,3.4
695,590.0,1661.0,1600.0,1803.0,589.0,101.0,198.0,28.0,68.0,100.0,1261.0,119.0,268.0,415.0,494.0,854.0,225.0,3.3
696,575.0,1666.0,1618.0,1787.0,620.0,101.0,198.0,28.0,68.0,100.0,1265.0,120.0,268.0,417.0,500.0,853.0,223.0,3.2
699,572.0,1644.0,1613.0,1809.0,599.0,101.0,192.0,28.0,68.0,101.0,1245.0,118.0,264.0,409.0,480.0,849.0,226.0,3.1
614,237.0,1459.0,1386.0,1585.0,225.0,110.0,272.0,51.0,106.0,113.0,937.0,103.0,269.0,343.0,409.0,664.0,239.0,7.2
624,224.0,1479.0,1392.0,1597.0,217.0,112.0,283.0,54.0,112.0,115.0,959.0,103.0,271.0,349.0,414.0,675.0,244.0,7.1
606,220.0,1440.0,1369.0,1563.0,216.0,108.0,272.0,51.0,108.0,112.0,932.0,101.0,264.0,340.0,405.0,657.0,239.0,6.9
626,220.0,1472.0,1393.0,1590.0,216.0,110.0,284.0,54.0,113.0,116.0,946.0,104.0,272.0,350.0,419.0,678.0,245.0,6.8
613,217.0,1456.0,1367.0,1575.0,212.0,107.0,277.0,53.0,110.0,114.0,949.0,102.0,266.0,343.0,410.0,672.0,242.0,6.7
617,208.0,1454.0,1372.0,1572.0,207.0,106.0,284.0,54.0,115.0,114.0,932.0,101.0,263.0,341.0,408.0,661.0,247.0,6.6
624,208.0,1462.0,1378.0,1578.0,210.0,111.0,287.0,54.0,116.0,113.0,925.0,101.0,266.0,340.0,413.0,672.0,246.0,6.5
616,212.0,1458.0,1359.0,1559.0,212.0,107.0,273.0,53.0,112.0,112.0,941.0,99.0,264.0,337.0,405.0,657.0,238.0,6.4
622,208.0,1462.0,1378.0,1580.0,208.0,104.0,278.0,54.0,115.0,113.0,940.0,100.0,263.0,341.0,410.0,647.0,243.0,6.3
618,208.0,1452.0,1370.0,1565.0,209.0,104.0,279.0,54.0,114.0,112.0,910.0,99.0,262.0,336.0,403.0,659.0,243.0,6.2
618,208.0,1460.0,1372.0,1579.0,209.0,102.0,276.0,53.0,114.0,112.0,939.0,98.0,261.0,337.0,402.0,652.0,242.0,6.1
617,213.0,1456.0,1375.0,1572.0,213.0,101.0,272.0,52.0,112.0,111.0,934.0,98.0,261.0,337.0,403.0,648.0,241.0,6.0
608,227.0,1444.0,1366.0,1556.0,219.0,96.0,261.0,51.0,104.0,111.0,926.0,102.0,262.0,335.0,404.0,647.0,238.0,5.9
617,219.0,1460.0,1369.0,1565.0,208.0,96.0,259.0,53.0,108.0,114.0,928.0,104.0,265.0,338.0,406.0,652.0,240.0,5.8
605,233.0,1427.0,1350.0,1537.0,221.0,97.0,254.0,50.0,101.0,109.0,923.0,101.0,256.0,330.0,398.0,664.0,235.0,5.6
605,213.0,1439.0,1353.0,1541.0,202.0,92.0,250.0,52.0,106.0,112.0,912.0,102.0,258.0,330.0,396.0,643.0,237.0,5.5
603,222.0,1429.0,1349.0,1540.0,213.0,97.0,252.0,51.0,104.0,110.0,944.0,101.0,256.0,330.0,397.0,648.0,235.0,5.4
607,212.0,1433.0,1356.0,1543.0,207.0,96.0,257.0,52.0,106.0,111.0,903.0,99.0,259.0,325.0,398.0,648.0,238.0,5.2
624,236.0,1487.0,1380.0,1570.0,213.0,96.0,263.0,53.0,106.0,116.0,955.0,108.0,268.0,346.0,417.0,666.0,243.0,4.9
603,212.0,1435.0,1349.0,1525.0,201.0,95.0,262.0,53.0,107.0,112.0,918.0,102.0,259.0,332.0,401.0,659.0,237.0,4.7
605,171.0,1382.0,1317.0,1535.0,194.0,119.0,294.0,50.0,130.0,99.0,980.0,77.0,242.0,302.0,361.0,677.0,252.0,5.7
602,177.0,1413.0,1328.0,1522.0,185.0,99.0,279.0,53.0,127.0,102.0,966.0,86.0,240.0,304.0,360.0,640.0,250.0,5.3
608,171.0,1432.0,1339.0,1515.0,181.0,106.0,289.0,54.0,129.0,103.0,967.0,86.0,244.0,307.0,362.0,677.0,251.0,5.1
604,169.0,1424.0,1328.0,1531.0,178.0,104.0,282.0,54.0,129.0,104.0,979.0,87.0,243.0,305.0,360.0,676.0,252.0,5.0
617,172.0,1478.0,1379.0,1574.0,182.0,111.0,299.0,56.0,133.0,108.0,990.0,90.0,255.0,322.0,377.0,713.0,263.0,4.6
610,170.0,1483.0,1376.0,1579.0,182.0,111.0,298.0,56.0,134.0,109.0,994.0,90.0,257.0,322.0,377.0,711.0,263.0,4.5
604,169.0,1437.0,1323.0,1512.0,177.0,107.0,276.0,55.0,131.0,107.0,994.0,89.0,251.0,314.0,368.0,698.0,247.0,4.4
602,166.0,1414.0,1331.0,1518.0,175.0,106.0,296.0,55.0,132.0,107.0,990.0,88.0,252.0,315.0,366.0,692.0,259.0,4.3
601,183.0,1418.0,1343.0,1547.0,192.0,110.0,282.0,53.0,125.0,105.0,1007.0,89.0,251.0,314.0,368.0,708.0,256.0,4.2
591,178.0,1430.0,1330.0,1541.0,184.0,106.0,285.0,53.0,123.0,106.0,974.0,88.0,249.0,314.0,369.0,686.0,249.0,4.1
593,178.0,1420.0,1342.0,1507.0,189.0,108.0,285.0,56.0,125.0,106.0,993.0,91.0,255.0,315.0,348.0,704.0,258.0,4.0
612,185.0,1430.0,1314.0,1528.0,192.0,108.0,281.0,53.0,124.0,104.0,982.0,90.0,251.0,298.0,370.0,692.0,255.0,3.9
606,198.0,1439.0,1335.0,1548.0,204.0,108.0,282.0,52.0,116.0,101.0,989.0,90.0,246.0,297.0,363.0,698.0,249.0,3.8
610,176.0,1432.0,1326.0,1532.0,184.0,108.0,289.0,54.0,129.0,106.0,987.0,90.0,253.0,296.0,372.0,695.0,256.0,3.7
602,181.0,1428.0,1343.0,1545.0,188.0,111.0,292.0,55.0,128.0,107.0,986.0,91.0,247.0,314.0,377.0,699.0,254.0,3.6
611,170.0,1464.0,1366.0,1579.0,199.0,113.0,296.0,56.0,129.0,109.0,1013.0,94.0,259.0,319.0,391.0,717.0,257.0,3.5
607,173.0,1436.0,1327.0,1532.0,177.0,108.0,299.0,60.0,135.0,110.0,991.0,97.0,267.0,322.0,393.0,679.0,258.0,7.3
607,190.0,1440.0,1334.0,1517.0,198.0,112.0,298.0,55.0,127.0,108.0,978.0,94.0,264.0,326.0,369.0,675.0,252.0,7.4
583,182.0,1377.0,1288.0,1471.0,185.0,105.0,281.0,54.0,119.0,97.0,924.0,91.0,250.0,281.0,377.0,654.0,242.0,7.5
590,183.0,1401.0,1310.0,1514.0,184.0,106.0,283.0,56.0,123.0,103.0,940.0,93.0,251.0,307.0,374.0,668.0,245.0,7.6
605,190.0,1431.0,1329.0,1530.0,190.0,107.0,288.0,55.0,122.0,103.0,954.0,96.0,258.0,301.0,393.0,676.0,247.0,7.7
595,185.0,1401.0,1305.0,1493.0,185.0,106.0,284.0,56.0,121.0,101.0,939.0,94.0,256.0,290.0,387.0,665.0,245.0,7.8
596,186.0,1403.0,1308.0,1494.0,185.0,106.0,284.0,55.0,121.0,101.0,940.0,94.0,255.0,287.0,388.0,664.0,244.0,7.9
600,186.0,1412.0,1311.0,1498.0,185.0,106.0,284.0,56.0,122.0,102.0,945.0,95.0,258.0,289.0,390.0,668.0,246.0,8.0
597,187.0,1427.0,1342.0,1510.0,190.0,107.0,295.0,56.0,124.0,109.0,973.0,99.0,261.0,329.0,386.0,679.0,254.0,8.1
598,188.0,1422.0,1347.0,1542.0,191.0,108.0,290.0,56.0,122.0,111.0,970.0,92.0,257.0,324.0,352.0,680.0,247.0,8.2
604,187.0,1405.0,1349.0,1535.0,190.0,103.0,287.0,57.0,125.0,109.0,970.0,96.0,264.0,316.0,383.0,667.0,251.0,8.3
591,184.0,1400.0,1305.0,1474.0,187.0,103.0,277.0,53.0,120.0,108.0,959.0,91.0,245.0,319.0,377.0,666.0,245.0,8.4
585,181.0,1388.0,1296.0,1462.0,185.0,104.0,281.0,55.0,122.0,108.0,946.0,92.0,257.0,318.0,354.0,659.0,243.0,8.5
584,180.0,1379.0,1329.0,1504.0,182.0,104.0,284.0,55.0,124.0,110.0,952.0,95.0,249.0,328.0,392.0,677.0,249.0,8.6
585,180.0,1402.0,1315.0,1506.0,182.0,103.0,280.0,56.0,124.0,111.0,952.0,90.0,255.0,320.0,348.0,670.0,241.0,8.7
578,174.0,1366.0,1278.0,1457.0,175.0,97.0,266.0,56.0,115.0,106.0,884.0,96.0,258.0,312.0,391.0,627.0,231.0,7.4
577,175.0,1361.0,1286.0,1455.0,175.0,97.0,269.0,56.0,117.0,113.0,893.0,98.0,247.0,331.0,385.0,634.0,235.0,7.5
561,171.0,1340.0,1270.0,1424.0,171.0,96.0,275.0,56.0,118.0,106.0,924.0,96.0,258.0,309.0,380.0,645.0,241.0,7.6
574,168.0,1344.0,1268.0,1444.0,170.0,98.0,269.0,57.0,118.0,111.0,885.0,97.0,258.0,330.0,368.0,626.0,232.0,7.7
573,179.0,1362.0,1271.0,1448.0,175.0,92.0,260.0,55.0,110.0,110.0,877.0,100.0,257.0,322.0,366.0,623.0,229.0,7.8
564,169.0,1320.0,1257.0,1431.0,171.0,96.0,263.0,55.0,115.0,108.0,876.0,97.0,254.0,321.0,366.0,622.0,229.0,8.0
551,167.0,1337.0,1259.0,1422.0,168.0,95.0,262.0,54.0,119.0,110.0,900.0,93.0,245.0,321.0,379.0,638.0,233.0,8.2
533,154.0,1295.0,1218.0,1387.0,160.0,95.0,261.0,55.0,121.0,109.0,864.0,89.0,249.0,321.0,374.0,637.0,231.0,8.3
536,152.0,1286.0,1190.0,1374.0,159.0,94.0,259.0,55.0,119.0,108.0,857.0,92.0,252.0,320.0,381.0,626.0,233.0,8.4
536,155.0,1301.0,1219.0,1387.0,161.0,96.0,262.0,54.0,121.0,108.0,864.0,89.0,248.0,320.0,371.0,640.0,234.0,8.5
539,153.0,1284.0,1199.0,1379.0,159.0,93.0,250.0,57.0,116.0,110.0,866.0,91.0,256.0,327.0,380.0,622.0,228.0,8.6
533,151.0,1280.0,1191.0,1369.0,157.0,92.0,253.0,54.0,118.0,107.0,856.0,93.0,250.0,316.0,385.0,621.0,232.0,8.7
530,150.0,1264.0,1183.0,1361.0,157.0,93.0,249.0,56.0,117.0,109.0,863.0,90.0,257.0,324.0,374.0,628.0,232.0,8.8
544,158.0,1273.0,1214.0,1394.0,162.0,96.0,258.0,56.0,119.0,109.0,879.0,90.0,257.0,317.0,379.0,641.0,235.0,8.9
537,170.0,1259.0,1183.0,1374.0,171.0,92.0,250.0,52.0,109.0,105.0,864.0,91.0,255.0,318.0,370.0,625.0,230.0,9.0
585,183.0,1388.0,1296.0,1483.0,186.0,104.0,277.0,51.0,117.0,107.0,903.0,92.0,255.0,328.0,396.0,644.0,239.0,7.5
583,185.0,1376.0,1283.0,1466.0,187.0,105.0,278.0,53.0,116.0,110.0,931.0,94.0,262.0,328.0,384.0,649.0,237.0,7.3
572,177.0,1352.0,1264.0,1447.0,182.0,98.0,272.0,51.0,115.0,107.0,886.0,93.0,253.0,321.0,391.0,615.0,233.0,7.2
563,181.0,1331.0,1250.0,1424.0,183.0,99.0,266.0,51.0,113.0,102.0,882.0,91.0,244.0,292.0,369.0,622.0,231.0,7.1
554,173.0,1321.0,1226.0,1414.0,175.0,97.0,261.0,52.0,109.0,103.0,864.0,90.0,241.0,302.0,368.0,617.0,227.0,7.0
557,176.0,1325.0,1227.0,1407.0,178.0,98.0,266.0,49.0,112.0,104.0,865.0,88.0,242.0,313.0,377.0,612.0,228.0,6.9
552,177.0,1311.0,1226.0,1409.0,180.0,97.0,260.0,51.0,110.0,105.0,870.0,90.0,244.0,316.0,373.0,615.0,227.0,6.8
561,175.0,1328.0,1249.0,1425.0,178.0,97.0,264.0,52.0,110.0,106.0,870.0,92.0,247.0,308.0,377.0,619.0,230.0,6.7
567,176.0,1339.0,1258.0,1440.0,178.0,98.0,270.0,52.0,114.0,107.0,873.0,92.0,240.0,317.0,384.0,622.0,232.0,6.6
563,177.0,1331.0,1251.0,1433.0,179.0,98.0,266.0,50.0,113.0,106.0,873.0,88.0,243.0,318.0,376.0,619.0,229.0,6.5
566,174.0,1339.0,1257.0,1431.0,177.0,97.0,264.0,53.0,112.0,107.0,879.0,94.0,250.0,312.0,382.0,625.0,232.0,6.4
567,176.0,1338.0,1260.0,1435.0,178.0,98.0,266.0,53.0,111.0,107.0,876.0,94.0,251.0,312.0,383.0,625.0,232.0,6.3
565,178.0,1334.0,1254.0,1425.0,179.0,97.0,261.0,53.0,112.0,107.0,877.0,94.0,253.0,310.0,385.0,625.0,230.0,6.2
564,180.0,1329.0,1258.0,1450.0,180.0,97.0,268.0,52.0,110.0,108.0,889.0,96.0,253.0,322.0,391.0,623.0,231.0,6.1
563,179.0,1328.0,1256.0,1448.0,180.0,97.0,269.0,52.0,111.0,108.0,889.0,95.0,253.0,322.0,388.0,623.0,231.0,6.0
561,174.0,1328.0,1248.0,1426.0,176.0,96.0,263.0,53.0,110.0,107.0,870.0,93.0,248.0,312.0,380.0,619.0,231.0,5.9
564,179.0,1333.0,1247.0,1435.0,180.0,97.0,263.0,51.0,110.0,107.0,865.0,92.0,243.0,323.0,383.0,619.0,229.0,5.8
565,179.0,1336.0,1250.0,1432.0,179.0,96.0,263.0,53.0,110.0,109.0,885.0,93.0,254.0,318.0,384.0,620.0,229.0,5.6
566,181.0,1327.0,1254.0,1435.0,180.0,97.0,266.0,53.0,111.0,103.0,887.0,95.0,255.0,310.0,390.0,627.0,232.0,5.5
566,178.0,1339.0,1251.0,1433.0,179.0,96.0,265.0,52.0,110.0,109.0,881.0,94.0,249.0,325.0,392.0,623.0,232.0,5.3
535,180.0,1253.0,1195.0,1344.0,173.0,90.0,251.0,50.0,105.0,104.0,847.0,89.0,232.0,310.0,371.0,605.0,224.0,5.7
526,169.0,1263.0,1207.0,1364.0,166.0,89.0,253.0,52.0,107.0,104.0,850.0,92.0,243.0,297.0,368.0,604.0,223.0,5.4
537,166.0,1294.0,1199.0,1370.0,165.0,88.0,247.0,52.0,108.0,105.0,851.0,92.0,237.0,304.0,367.0,609.0,226.0,5.2
535,166.0,1285.0,1175.0,1368.0,163.0,92.0,258.0,51.0,110.0,105.0,862.0,93.0,230.0,306.0,377.0,609.0,226.0,5.0
540,167.0,1298.0,1205.0,1383.0,168.0,94.0,259.0,53.0,109.0,106.0,856.0,93.0,240.0,305.0,370.0,610.0,226.0,4.8
541,170.0,1293.0,1181.0,1369.0,165.0,94.0,260.0,53.0,111.0,106.0,869.0,94.0,236.0,314.0,378.0,615.0,228.0,4.6
541,172.0,1265.0,1213.0,1374.0,170.0,94.0,260.0,53.0,111.0,106.0,862.0,89.0,246.0,307.0,369.0,609.0,226.0,4.4
539,167.0,1288.0,1178.0,1369.0,164.0,94.0,261.0,53.0,111.0,106.0,867.0,93.0,234.0,311.0,378.0,614.0,227.0,4.3
541,165.0,1295.0,1189.0,1375.0,165.0,92.0,259.0,52.0,110.0,105.0,853.0,91.0,235.0,307.0,367.0,604.0,223.0,4.2
533,169.0,1281.0,1209.0,1381.0,167.0,92.0,256.0,53.0,109.0,104.0,853.0,93.0,243.0,296.0,368.0,607.0,225.0,4.1
538,169.0,1290.0,1212.0,1388.0,167.0,92.0,257.0,53.0,110.0,105.0,858.0,94.0,244.0,298.0,370.0,611.0,226.0,4.0
546,168.0,1293.0,1230.0,1388.0,167.0,94.0,266.0,54.0,114.0,106.0,882.0,95.0,244.0,308.0,381.0,623.0,229.0,3.9
558,175.0,1317.0,1191.0,1389.0,167.0,92.0,264.0,53.0,112.0,108.0,881.0,93.0,243.0,320.0,383.0,617.0,230.0,3.8
556,176.0,1310.0,1189.0,1380.0,169.0,93.0,263.0,52.0,112.0,108.0,877.0,93.0,244.0,318.0,383.0,616.0,229.0,3.7
551,173.0,1300.0,1245.0,1408.0,170.0,93.0,264.0,54.0,113.0,109.0,883.0,95.0,254.0,313.0,384.0,623.0,230.0,3.6
543,177.0,1290.0,1209.0,1383.0,171.0,90.0,254.0,50.0,106.0,104.0,865.0,91.0,241.0,308.0,372.0,610.0,226.0,7.4
540,175.0,1285.0,1205.0,1378.0,170.0,90.0,253.0,50.0,106.0,104.0,864.0,91.0,241.0,307.0,370.0,610.0,225.0,7.5
568,183.0,1341.0,1257.0,1434.0,177.0,95.0,267.0,52.0,111.0,109.0,900.0,94.0,254.0,323.0,391.0,631.0,233.0,7.6
543,169.0,1291.0,1202.0,1379.0,166.0,89.0,251.0,52.0,110.0,105.0,887.0,90.0,244.0,309.0,373.0,600.0,223.0,7.7
569,185.0,1345.0,1260.0,1435.0,176.0,94.0,265.0,53.0,110.0,110.0,904.0,96.0,255.0,325.0,392.0,633.0,234.0,7.8
543,188.0,1286.0,1209.0,1381.0,179.0,90.0,256.0,49.0,102.0,104.0,862.0,93.0,244.0,312.0,375.0,612.0,230.0,7.9
